antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'ass_Argument'}),frozenset({'ucr_Assault'}),0.01697381930382501,0.20948138483258788,0.016841725826315948,0.9922178105501985,4.736544067355452,0.013286026652652572,101.58048968951522
frozenset({'ass_OtherFelony'}),frozenset({'ucr_Assault'}),0.006995370181380134,0.20948138483258788,0.006867705493933328,0.9817501169864297,4.686574502889691,0.005402305660921226,43.316366169558165
frozenset({'ass_LoversQuarrelAssault'}),frozenset({'rel_Known'}),0.002098668821240939,0.1239860959098776,0.0015231186692371622,0.7257546563904946,5.8535164855745405,0.0012629129154837133,3.1942708399726487
frozenset({'ass_LoversQuarrelAssault'}),frozenset({'ucr_Assault'}),0.002098668821240939,0.20948138483258788,0.0020811462170815735,0.9916506101477199,4.733836426278266,0.0016415141661030468,94.67980644735808
frozenset({'ass_LEO_Assault'}),frozenset({'ucr_Assault'}),0.0007777340461503032,0.20948138483258788,0.0007758084852536695,0.9975241396385243,4.761874857929357,0.0006128876802346521,319.2904686661021
frozenset({'ass_DrugGangAssault'}),frozenset({'ucr_Assault'}),0.0004051380126517053,0.20948138483258788,0.00038491962323705274,0.9500950570342206,4.535462937642464,0.000300050751298451,15.840487298211782
frozenset({'rel_Family'}),frozenset({'ucr_Assault'}),0.06182128792295908,0.20948138483258788,0.057598532876641635,0.9316941592743945,4.447622685037052,0.04464812387040602,11.573221363939288
frozenset({'rel_Known'}),frozenset({'ucr_Assault'}),0.1239860959098776,0.20948138483258788,0.11342323905530442,0.9148061177581472,4.367004344988633,0.08745045998411721,9.279053781388287
frozenset({'weap_Fists'}),frozenset({'ucr_Assault'}),0.13377872840579733,0.20948138483258788,0.1205691880988013,0.9012582907282023,4.302331166315636,0.0925450348112122,8.005923950449555
frozenset({'weap_OtherWeap'}),frozenset({'ucr_Assault'}),0.013149847919200383,0.20948138483258788,0.011173837327075003,0.8497312969498176,4.056357072629155,0.008419188974622982,5.26070032629095
